model,scope,risk_seed,source_groups,clips,metric,estimate,ci95_low,ci95_high,bootstrap_seed
ridge,official_test,1,142,1034,error_reduction,0.12477295003974465,0.10760975737498857,0.14188877119726698,202609031
ridge,official_test,1,142,1034,revision_path_reduction,0.11121856866537716,0.08954292336527767,0.1344312384765912,202609031
ridge,official_test,1,142,1034,revision_opportunity_reduction,0.07652051815057576,0.06512969802545598,0.08874567720773675,202609031
ridge,official_test,1,142,1034,coverage_gap,0.004996776273372028,0.0003086206012105436,0.01608756673027401,202609031
ridge,official_test,12,142,1034,error_reduction,0.11705302213788954,0.09937382556662497,0.13425895402304128,202609042
ridge,official_test,12,142,1034,revision_path_reduction,0.12169568020631849,0.09975537339480972,0.1443490518203022,202609042
ridge,official_test,12,142,1034,revision_opportunity_reduction,0.08415793937256313,0.07253267634681673,0.09575849345210352,202609042
ridge,official_test,12,142,1034,coverage_gap,0.0001611863313990547,0.00016550810989745813,0.012928615233126613,202609042
ridge,official_test,123,142,1034,error_reduction,0.1233575005404397,0.1067059738702448,0.13997011577145818,202609153
ridge,official_test,123,142,1034,revision_path_reduction,0.11154094132817532,0.08934567958825086,0.1346233237078161,202609153
ridge,official_test,123,142,1034,revision_opportunity_reduction,0.07777407224294194,0.06617615611698159,0.08993109559295608,202609153
ridge,official_test,123,142,1034,coverage_gap,0.0008059316569954955,0.00016275644690037227,0.012606844634126887,202609153
ridge,official_test,1234,142,1034,error_reduction,0.11895965038843864,0.101215238602603,0.13663709184522266,202610264
ridge,official_test,1234,142,1034,revision_path_reduction,0.12201805286911666,0.10032061686368576,0.14516719501603106,202610264
ridge,official_test,1234,142,1034,revision_opportunity_reduction,0.08419867191928573,0.07274688818943172,0.09609471000184844,202610264
ridge,official_test,1234,142,1034,coverage_gap,0.00016118633139916572,0.00016404199475061887,0.013203442858974776,202610264
ridge,official_test,12345,142,1034,error_reduction,0.12267881138007514,0.10566267085703515,0.1395324479340862,202621375
ridge,official_test,12345,142,1034,revision_path_reduction,0.11686009026434557,0.09523698781838316,0.13967950215742173,202621375
ridge,official_test,12345,142,1034,revision_opportunity_reduction,0.08097360685608915,0.06968727845972408,0.09295232587055637,202621375
ridge,official_test,12345,142,1034,coverage_gap,0.002740167633784707,0.00017470300489164092,0.014493104028256723,202621375
