scope,condition,paths,prefinal_commits,prefinal_errors,prefinal_committed_error_rate,committed_state_coverage,committed_revision_rate_per_path,revision_opportunities,revision_rate_per_opportunity,premature_exposure_rate,stage_two_path_coverage,time_to_first_commit,final_state_identity,stage1_committed_count,stage1_coverage,stage1_errors,stage1_committed_error_rate,stage2_committed_count,stage2_coverage,stage2_errors,stage2_committed_error_rate
official_test,B0,6204.0,12408.0,5400.0,0.43520309477756286,1.0,0.630722114764668,12408.0,0.315361057382334,0.26998710509348806,1.0,1.0,1.0,6204.0,1.0,2960.0,0.4771115409413282,6204.0,1.0,2440.0,0.39329464861379754
official_test,B1,6204.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,
official_test,B2,6204.0,9859.0,4289.0,0.43503397910538594,0.7945680206318504,0.41166989039329466,9859.0,0.2590526422558069,0.2071244358478401,0.910541586073501,1.4108639587362992,1.0,4210.0,0.6785944551901999,2004.0,0.47600950118764845,5649.0,0.910541586073501,2285.0,0.40449637103912195
official_test,B3,6204.0,3971.0,1309.0,0.3296398891966759,0.3200354609929078,0.14281108961960026,3971.0,0.22311760261898766,0.06254029658284978,0.6400709219858156,2.3599290780141846,1.0,0.0,0.0,0.0,,3971.0,0.6400709219858156,1309.0,0.3296398891966759
official_test,B4,6204.0,9859.0,4427.0,0.44903134192108735,0.7945680206318504,0.38475177304964536,9859.0,0.24211380464550158,0.20357833655705995,0.910541586073501,1.4108639587362992,1.0,4210.0,0.6785944551901999,2004.0,0.47600950118764845,5649.0,0.910541586073501,2423.0,0.428925473535139
official_test,H0,6204.0,10306.0,3377.0,0.3276669550237698,0.8305931656995487,0.26808510638297867,10306.0,0.16138884293721042,0.10319148936170212,0.9091553836234688,1.3388136686009027,1.0,4665.6,0.7520309477756286,1589.6,0.3407044070209563,5640.4,0.9091553836234688,1787.4,0.31688499838937256
official_test,O1,6204.0,7590.0,0.0,0.0,0.6117021276595744,0.14329464861379754,7590.0,0.11712779973649538,0.0,0.7005157962604771,1.7765957446808511,1.0,3244.0,0.5228884590586719,0.0,0.0,4346.0,0.7005157962604771,0.0,0.0
official_test,LR,6204.0,10320.0,3362.0,0.3257751937984496,0.8317214700193424,0.2775628626692456,10320.0,0.16686046511627908,0.10622179239200516,0.9197292069632496,1.3365570599613152,1.0,4614.0,0.7437137330754352,1572.0,0.34070221066319895,5706.0,0.9197292069632496,1790.0,0.3137048720644935
official_test,PLATT,6204.0,12408.0,5797.0,0.4671985815602837,1.0,0.4771115409413282,12408.0,0.2385557704706641,0.24532559638942616,1.0,1.0,1.0,6204.0,1.0,2960.0,0.4771115409413282,6204.0,1.0,2837.0,0.4572856221792392
official_test,ISO,6204.0,11767.0,5527.0,0.4697034078354721,0.9483397807865893,0.4203739522888459,11767.0,0.22163678082773858,0.22888459058671826,0.9921018697614442,1.1033204384268214,1.0,5612.0,0.9045776918117344,2660.0,0.47398431931575197,6155.0,0.9921018697614442,2867.0,0.465800162469537
source_disjoint_test,B0,1140.0,2280.0,1202.0,0.5271929824561403,1.0,0.6912280701754386,2280.0,0.3456140350877193,0.21842105263157896,1.0,1.0,1.0,1140.0,1.0,612.0,0.5368421052631579,1140.0,1.0,590.0,0.5175438596491229
source_disjoint_test,B1,1140.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,
source_disjoint_test,B2,1140.0,1839.0,1001.0,0.5443175638934203,0.8065789473684211,0.4543859649122807,1839.0,0.2816748232735182,0.17280701754385966,0.9201754385964912,1.3868421052631579,1.0,790.0,0.6929824561403509,440.0,0.5569620253164557,1049.0,0.9201754385964912,561.0,0.5347950428979981
source_disjoint_test,B3,1140.0,692.0,314.0,0.45375722543352603,0.30350877192982456,0.15087719298245614,692.0,0.24855491329479767,0.05175438596491228,0.6070175438596491,2.3929824561403508,1.0,0.0,0.0,0.0,,692.0,0.6070175438596491,314.0,0.45375722543352603
source_disjoint_test,B4,1140.0,1839.0,1015.0,0.5519303969548668,0.8065789473684211,0.4114035087719298,1839.0,0.25502990755845567,0.1692982456140351,0.9201754385964912,1.3868421052631579,1.0,790.0,0.6929824561403509,440.0,0.5569620253164557,1049.0,0.9201754385964912,575.0,0.5481410867492851
source_disjoint_test,H0,1140.0,1895.4,810.8,0.4277693122214391,0.8313157894736841,0.3257894736842105,1895.4,0.1959511888358091,0.08859649122807017,0.9075438596491228,1.3373684210526315,1.0,860.8,0.7550877192982457,378.4,0.43959129756883303,1034.6,0.9075438596491228,432.4,0.4179309241770589
source_disjoint_test,O1,1140.0,1228.0,0.0,0.0,0.5385964912280702,0.20087719298245615,1228.0,0.18648208469055375,0.0,0.6140350877192983,1.9228070175438596,1.0,528.0,0.4631578947368421,0.0,0.0,700.0,0.6140350877192983,0.0,0.0
source_disjoint_test,LR,1140.0,1906.0,823.0,0.431794333683106,0.8359649122807018,0.3385964912280702,1906.0,0.2025183630640084,0.09298245614035087,0.9192982456140351,1.3280701754385964,1.0,858.0,0.7526315789473684,376.0,0.4382284382284382,1048.0,0.9192982456140351,447.0,0.4265267175572519
source_disjoint_test,PLATT,1140.0,2280.0,1223.0,0.5364035087719298,1.0,0.5070175438596491,2280.0,0.2535087719298246,0.1956140350877193,1.0,1.0,1.0,1140.0,1.0,612.0,0.5368421052631579,1140.0,1.0,611.0,0.5359649122807018
source_disjoint_test,ISO,1140.0,2199.0,1193.0,0.542519326966803,0.9644736842105263,0.4570175438596491,2199.0,0.23692587539790813,0.18859649122807018,0.9956140350877193,1.0710526315789475,1.0,1064.0,0.9333333333333333,582.0,0.5469924812030075,1135.0,0.9956140350877193,611.0,0.5383259911894274
