scope,condition,seed,threshold,margin,paths,prefinal_commits,prefinal_errors,prefinal_committed_error_rate,committed_state_coverage,committed_revision_rate_per_path,revision_opportunities,revision_rate_per_opportunity,premature_exposure_rate,stage_two_path_coverage,time_to_first_commit,final_state_identity,stage1_committed_count,stage1_coverage,stage1_errors,stage1_committed_error_rate,stage2_committed_count,stage2_coverage,stage2_errors,stage2_committed_error_rate
official_test,B2,1,0.0,0.0,6204,12408,5400,0.43520309477756286,1.0,0.630722114764668,12408,0.315361057382334,0.26998710509348806,1.0,1.0,1.0,6204,1.0,2960,0.4771115409413282,6204,1.0,2440,0.39329464861379754
official_test,B2,1,0.01,0.0,6204,12253,5340,0.43581163796621236,0.9875080593165699,0.6123468729851709,12253,0.31004651921978293,0.26531270148291425,0.9995164410058027,1.0249838813668601,1.0,6052,0.9754996776273372,2890,0.47752808988764045,6201,0.9995164410058027,2450,0.39509756490888565
official_test,B2,1,0.02,0.0,6204,12089,5254,0.4346099760112499,0.974290780141844,0.5941328175370728,12089,0.30490528579700554,0.25918762088974856,0.9985493230174082,1.051418439716312,1.0,5894,0.9500322372662798,2794,0.4740413980318968,6195,0.9985493230174082,2460,0.39709443099273606
official_test,B2,1,0.03,0.0,6204,11918,5171,0.4338815237455949,0.9605093488072212,0.5764023210831721,11918,0.3000503440174526,0.25499677627337203,0.995164410058027,1.0789813023855577,1.0,5744,0.9258542875564152,2724,0.4742339832869081,6174,0.995164410058027,2447,0.3963394881762229
official_test,B2,1,0.04,0.0,6204,11778,5111,0.4339446425539141,0.9492263056092843,0.5615731785944552,11778,0.2958057395143488,0.2514506769825919,0.9925854287556415,1.1015473887814313,1.0,5620,0.9058671824629272,2664,0.4740213523131673,6158,0.9925854287556415,2447,0.39736927573887626
official_test,B2,1,0.05,0.0,6204,11623,5039,0.43353695259399466,0.9367343649258543,0.5438426821405545,11623,0.2902865009033812,0.24725983236621535,0.9885557704706641,1.1265312701482915,1.0,5490,0.8849129593810445,2598,0.473224043715847,6133,0.9885557704706641,2441,0.3980107614544269
official_test,B2,1,0.06,0.0,6204,11476,4966,0.432729173928198,0.9248871695680206,0.5277240490006447,11476,0.28529104217497386,0.24242424242424243,0.9842037395228884,1.1502256608639587,1.0,5370,0.8655705996131529,2536,0.4722532588454376,6106,0.9842037395228884,2430,0.3979692106125123
official_test,B2,1,0.07,0.0,6204,11301,4891,0.4327935580922042,0.9107833655705996,0.513217279174726,11301,0.2817449783205026,0.23839458413926498,0.9782398452611218,1.1784332688588008,1.0,5232,0.8433268858800773,2470,0.4720948012232416,6069,0.9782398452611218,2421,0.39891250617894214
official_test,B2,1,0.08,0.0,6204,11091,4805,0.43323415381841135,0.8938588007736944,0.498388136686009,11091,0.27878460012622847,0.23372018052869117,0.970180528691167,1.2122823984526112,1.0,5072,0.8175370728562218,2402,0.47358044164037855,6019,0.970180528691167,2403,0.3992357534474165
official_test,B2,1,0.09,0.0,6204,10950,4731,0.43205479452054796,0.882495164410058,0.4858156028368794,10950,0.2752511415525114,0.22936814958091553,0.9648613797549968,1.235009671179884,1.0,4964,0.8001289490651193,2342,0.4717969379532635,5986,0.9648613797549968,2389,0.39909789508853993
official_test,B2,1,0.1,0.0,6204,10775,4665,0.43294663573085845,0.868391360412637,0.4738878143133462,10775,0.2728538283062645,0.2261444229529336,0.9576079948420374,1.263217279174726,1.0,4834,0.7791747259832367,2284,0.4724865535788167,5941,0.9576079948420374,2381,0.400774280424171
official_test,B2,1,0.11,0.0,6204,10583,4572,0.43201360672777095,0.8529174725983236,0.4590586718246293,10583,0.2691108381366342,0.22275950999355254,0.9482591876208898,1.2941650548033528,1.0,4700,0.7575757575757576,2212,0.4706382978723404,5883,0.9482591876208898,2360,0.4011558728539861
official_test,B2,1,0.12,0.0,6204,10405,4499,0.432388274867852,0.838571889103804,0.4464861379754997,10405,0.26621816434406537,0.21840747904577693,0.9395551257253385,1.322856221792392,1.0,4576,0.7375886524822695,2156,0.47115384615384615,5829,0.9395551257253385,2343,0.40195573854863614
official_test,B2,1,0.13,0.0,6204,10228,4429,0.43302698474775125,0.8243068987749839,0.4355254674403611,10228,0.26417676965193587,0.21534493874919408,0.9306898774983882,1.3513862024500323,1.0,4454,0.7179239200515797,2106,0.4728334081724293,5774,0.9306898774983882,2323,0.4023207481815033
official_test,B2,1,0.14,0.0,6204,10061,4373,0.4346486432760163,0.8108478401031592,0.42472598323662153,10061,0.26190239538813237,0.21244358478401032,0.9221470019342359,1.3783043197936815,1.0,4340,0.6995486782720826,2064,0.47557603686635946,5721,0.9221470019342359,2309,0.4036007690963118
official_test,B2,1,0.15,0.0,6204,9859,4289,0.43503397910538594,0.7945680206318504,0.41166989039329466,9859,0.2590526422558069,0.2071244358478401,0.910541586073501,1.4108639587362992,1.0,4210,0.6785944551901999,2004,0.47600950118764845,5649,0.910541586073501,2285,0.40449637103912195
